Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
10/5/2010,1105.718288,1107.352622,3696.222444,6457.358667,572.939441,4059.222144,2689.460134,1992.965119,2254.816665,329.647985,8413.425233,1579.393532,1500.802768,5134.318475,1701.288069,1104.661035,1390.738111,817.106512
10/6/2010,1104.569806,1114.022409,3729.078572,6433.018339,576.852467,4097.219622,2715.413451,2010.899281,2294.961498,331.966923,8473.401564,1599.247579,1519.603241,5235.701273,1712.060848,1114.683381,1420.384919,837.316215
10/7/2010,1102.935053,1113.930209,3731.447622,6460.082801,581.309523,4069.889573,2697.481004,2019.541006,2313.67147,335.149496,8528.239641,1606.185322,1527.330209,5257.266855,1696.746912,1111.597689,1436.318392,843.857925
10/8/2010,1109.801151,1112.305158,3743.996099,6431.252047,579.160076,4055.436728,2709.50811,2006.004958,2309.023375,335.980454,8593.58016,1609.016967,1522.99376,5218.114149,1705.728289,1126.344678,1441.469764,842.80814
10/11/2010,1110.056434,1113.346185,3744.323337,6486.844161,576.607701,4066.785041,2706.321388,2003.309623,2302.69343,336.304874,8683.113159,1609.615297,1521.658456,5268.142301,1710.776565,1127.904236,1444.717214,846.411737
10/12/2010,1114.379244,1102.780456,3757.166209,6438.051675,571.231675,4041.323203,2669.387908,1985.426039,2272.696682,333.140788,8655.357959,1601.952768,1508.226583,5249.017724,1719.087146,1121.262059,1426.358293,830.417626
10/13/2010,1122.272119,1123.095351,3804.778559,6593.823019,589.077689,4138.353932,2750.380078,2042.905923,2267.556235,342.451432,8705.330367,1650.240076,1552.692386,5388.594115,1746.81929,1155.730795,1463.586109,836.698697
10/14/2010,1118.146591,1131.645504,3818.473742,6643.681276,593.139804,4146.63254,2787.551951,2061.7801,2321.497958,345.012315,8766.046565,1669.956638,1563.729892,5366.209388,1737.594749,1157.060025,1470.49872,854.614813
10/15/2010,1120.81418,1126.83109,3802.334188,6553.962045,590.967803,4170.176824,2757.647246,2053.230034,2294.385974,342.682298,8727.694852,1670.340403,1558.798493,5300.284436,1723.443858,1146.035785,1461.557075,847.175826
10/18/2010,1128.516602,1126.731175,3827.864199,6533.381748,590.948234,4140.346483,2746.030441,2042.19498,2309.382527,344.529341,8657.444089,1671.043469,1556.061729,5175.700597,1725.498367,1145.086725,1471.039229,842.33773
10/19/2010,1110.395659,1106.925232,3752.110491,6394.744041,584.030676,4119.458799,2674.579943,2001.073233,2300.795155,339.618792,8777.935112,1642.910096,1525.618572,5030.778638,1684.394874,1127.867502,1441.915547,826.734566
10/20/2010,1122.179538,1120.796582,3815.730502,6523.749138,591.218753,4124.415657,2733.442622,2026.174327,2297.883466,346.995727,8713.362807,1673.406485,1552.90094,5291.822783,1704.813651,1142.253038,1466.661885,832.354491
10/21/2010,1124.209535,1120.123076,3818.982511,6665.534451,591.03065,4133.088062,2774.335196,2048.066276,2281.380806,350.885471,8702.442597,1698.737699,1577.128911,5360.245833,1705.677076,1157.614574,1472.396558,832.021847
10/22/2010,1126.933156,1110.088551,3754.830956,6627.552763,589.801455,4127.772952,2760.860236,2031.780563,2286.727127,347.49742,8725.158318,1688.499794,1564.891539,5302.263765,1694.471686,1152.541975,1470.331499,831.729756
10/25/2010,1129.606352,1115.81321,3793.742849,6672.083091,588.219057,4175.134795,2793.616099,2050.937354,2300.441961,347.142577,8760.393417,1704.322129,1574.820468,5365.751816,1713.605078,1159.769866,1486.837196,854.70406
10/26/2010,1130.118876,1117.365076,3720.173655,6525.679178,579.892239,4120.833866,2768.166649,2025.03628,2271.297879,343.180468,8719.456248,1684.11199,1553.213915,5227.103826,1711.159364,1142.242889,1475.136935,844.017033
10/27/2010,1127.531217,1099.538894,3698.869986,6448.82709,570.555348,4043.019131,2718.534491,1992.638579,2261.258197,338.815629,8579.264939,1661.745962,1527.818184,5221.789156,1678.59329,1125.906295,1454.748362,822.376459
10/28/2010,1128.916539,1116.96365,3731.015719,6434.776852,578.426237,4075.710108,2742.803888,2012.608907,2273.759024,346.331544,8577.246745,1683.061614,1549.013965,5324.594416,1689.873389,1134.300098,1464.09836,836.856408
10/29/2010,1128.871092,1119.767701,3724.716208,6442.435109,581.568844,4093.523793,2756.954715,1998.233383,2273.638452,345.565209,8537.935033,1684.16852,1547.450793,5308.732221,1716.419111,1136.614741,1444.405186,834.795286
11/1/2010,1129.99606,1127.639654,3706.916953,6478.082875,571.168357,4159.374669,2791.216919,2007.112411,2248.737205,341.482257,8770.077446,1683.340172,1549.775554,5305.790247,1721.353365,1141.300103,1443.26205,847.559397
11/2/2010,1138.79616,1137.480256,3786.369682,6550.912083,582.788795,4188.390904,2822.28558,2035.109295,2245.70102,348.234947,8767.892046,1711.739333,1575.708008,5398.565989,1728.281409,1151.747434,1478.248676,858.078375
11/3/2010,1142.685483,1140.713663,3766.37759,6500.426953,570.701804,4201.797847,2744.598682,2015.865486,2229.012049,344.869988,8935.339266,1700.909402,1566.110567,5413.0472,1727.901312,1129.951351,1468.232585,860.246741
11/4/2010,1164.562541,1177.693352,3884.015321,6758.135474,580.66241,4254.923599,2856.399513,2086.685821,2289.017168,354.435406,9100.106928,1756.559688,1618.43621,5540.744785,1767.876045,1166.360733,1512.809635,879.231557
